,number,value,datetime_start,datetime_complete,duration,params_activation,params_batch_size,params_learning_rate,params_num_layers,state
0,0,0.9520828009200102,2022-08-14 14:58:48.014016,2022-08-14 15:19:43.723155,0 days 00:20:55.709139,selu,109,0.00027720158198153483,6,COMPLETE
1,1,0.1385126501405571,2022-08-14 15:19:43.724155,2022-08-14 15:31:20.168663,0 days 00:11:36.444508,selu,89,3.360123720029353e-05,4,COMPLETE
2,2,0.6712241247124968,2022-08-14 15:31:20.169664,2022-08-14 15:49:49.427438,0 days 00:18:29.257774,selu,98,0.00012172112758475463,5,COMPLETE
3,3,0.20444671607462306,2022-08-14 15:49:49.428438,2022-08-14 16:00:52.823413,0 days 00:11:03.394975,selu,78,8.645371676200096e-05,4,COMPLETE
4,4,0.995399948888321,2022-08-14 16:00:52.824414,2022-08-14 16:25:23.250177,0 days 00:24:30.425763,elu,91,0.003971252247766701,4,COMPLETE
5,5,0.9855609506772297,2022-08-14 16:25:23.251177,2022-08-14 16:49:38.455308,0 days 00:24:15.204131,selu,80,0.00043172184004200415,4,COMPLETE
6,6,0.9819831331459239,2022-08-14 16:49:38.456308,2022-08-14 17:10:09.421775,0 days 00:20:30.965467,selu,86,0.0007493945084841897,6,COMPLETE
7,7,0.9957832864809609,2022-08-14 17:10:09.423777,2022-08-14 17:45:53.092239,0 days 00:35:43.668462,selu,107,0.004528772229928238,3,COMPLETE
8,8,0.9030155890621007,2022-08-14 17:45:53.093240,2022-08-14 18:09:38.214988,0 days 00:23:45.121748,elu,104,9.042724073733986e-05,3,COMPLETE
9,9,0.9911832353692819,2022-08-14 18:09:38.215987,2022-08-14 18:50:41.525589,0 days 00:41:03.309602,relu,108,0.00015651538929171386,5,COMPLETE
10,10,0.9930999233324814,2022-08-14 18:50:41.526589,2022-08-14 19:20:11.588829,0 days 00:29:30.062240,relu,127,0.006877278147152915,3,COMPLETE
11,11,0.9697163301814464,2022-08-14 19:20:11.589829,2022-08-14 19:40:26.665888,0 days 00:20:15.076059,elu,121,0.007582712319677351,3,COMPLETE
12,12,0.9801942243802709,2022-08-14 19:40:26.666888,2022-08-14 19:59:49.330253,0 days 00:19:22.663365,elu,68,0.0018233633199280785,3,COMPLETE
13,13,0.974827498083312,2022-08-14 19:59:49.331252,2022-08-14 20:12:05.034377,0 days 00:12:15.703125,elu,116,0.0021595938968426735,4,COMPLETE
14,14,0.9930999233324814,2022-08-14 20:12:05.035377,2022-08-14 20:36:17.087719,0 days 00:24:12.052342,elu,94,0.0027502607763237297,3,COMPLETE
15,15,0.9772553028366981,2022-08-14 20:36:17.088719,2022-08-14 20:48:28.759086,0 days 00:12:11.670367,relu,99,0.0010053154856668471,4,COMPLETE
16,16,0.040761564017377974,2022-08-14 20:48:28.760086,2022-08-14 20:56:42.162019,0 days 00:08:13.401933,elu,64,1.1751252387538005e-05,5,COMPLETE
17,17,0.9937388193202147,2022-08-14 20:56:42.163020,2022-08-14 21:15:27.854619,0 days 00:18:45.691599,selu,115,0.00407207219648193,6,COMPLETE
18,18,0.9966777408637874,2022-08-14 21:15:27.855619,2022-08-14 21:44:52.871544,0 days 00:29:25.015925,elu,76,0.0011325830248319006,4,COMPLETE
19,19,0.9782775364170713,2022-08-14 21:44:52.872544,2022-08-14 22:07:58.232814,0 days 00:23:05.360270,relu,72,0.001041890335487455,3,COMPLETE
20,20,0.9787886532072578,2022-08-14 22:07:58.234815,2022-08-14 22:25:47.565689,0 days 00:17:49.330874,elu,82,0.00044393708339993853,4,COMPLETE
21,21,0.9808331203680041,2022-08-14 22:25:47.566690,2022-08-14 22:37:56.265429,0 days 00:12:08.698739,elu,91,0.004640211819070716,4,COMPLETE
22,22,0.9883720930232558,2022-08-14 22:37:56.266429,2022-08-14 23:03:53.166149,0 days 00:25:56.899720,elu,74,0.009147288023106373,4,COMPLETE
23,23,0.9993611040122669,2022-08-14 23:03:53.167150,2022-08-14 23:37:46.350136,0 days 00:33:53.182986,elu,105,0.0016988928504265035,4,COMPLETE
24,24,0.9637107078967544,2022-08-14 23:37:46.352138,2022-08-14 23:53:02.026570,0 days 00:15:15.674432,elu,102,0.0015774110961654228,4,COMPLETE
